dataset,window,source_stage,n_seeds,seeds,delta_sharpe,seed_sd_delta_sharpe,pbir_mean_sharpe,pbir_seed_sd_sharpe,pure_gift_mean_sharpe,pure_gift_seed_sd_sharpe,delta_sortino,seed_sd_delta_sortino,pbir_mean_sortino,pbir_seed_sd_sortino,pure_gift_mean_sortino,pure_gift_seed_sd_sortino,delta_total_return,seed_sd_delta_total_return,pbir_mean_total_return,pbir_seed_sd_total_return,pure_gift_mean_total_return,pure_gift_seed_sd_total_return,delta_max_drawdown_improvement,seed_sd_delta_max_drawdown_improvement,pbir_mean_max_drawdown_improvement,pbir_seed_sd_max_drawdown_improvement,pure_gift_mean_max_drawdown_improvement,pure_gift_seed_sd_max_drawdown_improvement,delta_calmar,seed_sd_delta_calmar,pbir_mean_calmar,pbir_seed_sd_calmar,pure_gift_mean_calmar,pure_gift_seed_sd_calmar
portfolio_5stocks,W1,Stage-C,3,"42,123,456",-0.06179412967015093,0.1321646260644534,0.19057211549430417,0.2134957289728043,0.25236624516445505,0.13865129071277416,-0.06154530149984922,0.10682836179329039,0.19472245246949169,0.21854467820776718,0.25626775396934093,0.15078801441281356,-0.30571932547425923,1.0947615049858181,0.8863989181689624,1.8268482010185647,1.1921182436432216,1.116635427662295,-1.5621137280663688,2.9916943064984776,12.914416807446083,1.0776264690484003,11.352303079379714,2.304268309938308,-0.13376044528227557,0.21470555629323584,0.28916454874662395,0.3305683842160252,0.42292499402889955,0.2474418801782597
portfolio_5stocks,W2,Stage-F,3,"42,123,456",0.4826701064718799,0.3526552866798118,2.0069003260569143,0.1476803130397711,1.5242302195850348,0.2710024613922814,0.5083781136045274,0.41881378039622025,1.9633573686076506,0.21488805111279385,1.4549792550031233,0.2907860406694062,3.6874218831729997,0.8942456106894022,12.372092376143378,2.2989965736716766,8.684670492970376,1.4087615885154359,-0.9768945053643548,1.751943084074958,8.381595842536788,1.261606834459976,7.404701337172433,0.49367202484582434,0.6064676596912598,0.46597720579744073,3.459367993746507,0.2358058256514647,2.852900334055247,0.5787298849960331
portfolio_5stocks,W3,Stage-C,3,"42,123,456",0.2515922423278016,0.5691372736058062,-1.160468981952879,0.23767194044668744,-1.4120612242806807,0.34036997164072247,0.2046377303976975,0.5042113538124222,-1.0471365202003942,0.18608474831544689,-1.2517742505980918,0.3247543235004633,1.5507882747425394,6.9308473117129825,-20.339160407594644,5.899226859503259,-21.88994868233718,5.279183260405359,1.2699735267947243,4.7452563731263195,29.835191275988933,6.421186853459239,31.10516480278365,3.691463193647611,0.12128601752337032,0.4900897668027982,-1.5439821231861106,0.2244791600055251,-1.6652681407094807,0.3073022704450561
portfolio_5stocks,W4,Stage-F,3,"42,123,456",0.07549311938856161,0.22137063094092863,-1.1046701803268362,0.8322987662365003,-1.1801632997153977,0.8241847755064958,0.0608316008714432,0.21824063368885255,-1.1798434263017268,0.8823851082433442,-1.2406750271731701,0.8354220355333313,2.46887869769424,5.753128554196972,-11.825131867488599,8.068103654038346,-14.29401056518284,8.301589466949812,1.6963427736064052,5.978771824298841,18.50714382927188,7.219283491330334,20.203486602878286,6.103383878765113,0.19779222145416334,0.2091514462553692,-1.3159136254863768,0.8294446842020666,-1.51370584694054,0.7588226969368009
portfolio_5stocks,W5,Stage-C,3,"42,123,456",0.5130521207922041,1.0723242791027006,2.7476763818131835,0.539422504721831,2.234624261020979,0.6049346476176876,0.4429921739006304,1.132630467619302,2.9014058486576353,0.40418769691550394,2.458413674757005,0.7944848972028647,11.779573038075709,14.263827731179264,27.11251559773616,10.640372570757462,15.332942559660452,4.57995329925096,-2.3748765445383206,2.269461272319571,11.6529207259021,0.953127638031902,9.278044181363777,2.1845673506284626,0.9349995789413418,3.839414256714449,5.074474820580952,1.7670112091846544,4.13947524163961,2.0877519261544237
portfolio_5stocks,W6,Stage-F,3,"42,123,456",0.058143625471614745,0.4140680080225937,1.2746299154276768,0.2405989334132902,1.2164862899560622,0.3068540802804256,0.04117639456977166,0.3526016544915372,1.2398167845001535,0.22516721907692508,1.1986403899303817,0.2710453433065373,-0.6652751913917679,2.309479550089294,7.950508478357897,1.0666514040123898,8.615783669749666,2.7032461171617914,2.2277871339621105,4.341134151924167,9.274726948139998,2.9143781352468903,11.50251408210211,1.4872250359412713,0.4011069216198128,1.093645809344412,2.2885286876558966,0.7647221093063105,1.8874217660360841,0.5331972728588065
portfolio_5stocks2,W1,Stage-C,3,"42,123,456",0.6415120057376049,0.35711501494637227,2.6911533783643264,0.20457845286574133,2.0496413726267217,0.31733185519054913,0.8222311428031669,0.5190173082902549,2.8765538583945336,0.3104205764590557,2.054322715591367,0.3675541599752957,0.006775131028076586,3.218882696314158,11.895920828778543,1.2236390033812046,11.889145697750465,3.8863921423423644,1.904473553265965,2.187083532645395,3.3395820779841645,0.452992958470671,5.244055631250129,1.797020986088182,3.0203715664905055,2.402908181827228,8.403029630090947,1.8599046892903337,5.382658063600441,0.552151044057873
portfolio_5stocks2,W2,Stage-F,3,"42,123,456",0.6066441343628655,0.42923746549968905,1.0476354206787535,0.20279289313435123,0.4409912863158881,0.23858867013231505,0.6162197497460677,0.35887124813814814,1.0269603213814982,0.148501218687092,0.41074057163543043,0.2159020581274795,3.386475955545361,1.6060686568945632,5.168363989788705,0.8575461059201798,1.7818880342433434,0.9018929120342891,0.757161974295081,1.6063860535384928,4.989680860152762,1.1327390521590275,5.746842834447842,0.500233808754987,1.8123392121910016,1.209592120113815,2.6941695349832115,0.8124213398224686,0.8818303227922099,0.42377847297712096
portfolio_5stocks2,W3,Stage-C,3,"42,123,456",0.5250978849101505,0.5274991664723534,-0.1541383522274237,0.5512250311361427,-0.6792362371375743,0.7279744570576034,0.4609428034322806,0.46191352949214803,-0.129729917497118,0.4705112949585897,-0.5906727209293986,0.6389870332244866,4.600614858296695,5.91309780205583,-2.808685864528331,5.489414216314368,-7.4093007228250265,6.734658261992316,1.4829851771052702,2.5992742881546214,14.68294995382328,3.1013238168450177,16.16593513092855,5.524134910921536,0.5505347982279357,0.774760189044627,-0.21864398539433674,0.8591704643173731,-0.7691787836222725,0.9988087201383897
portfolio_5stocks2,W4,Stage-F,3,"42,123,456",-0.12874006134870628,0.5067741154043489,-0.2834578426424521,0.09893683865457471,-0.15471778129374586,0.5843751841411278,-0.15179013418614845,0.5334609825733021,-0.2978272668047656,0.09894762660047546,-0.1460371326186172,0.5959847486731902,-0.7379219758276787,4.334124228766193,-2.8973437484375384,0.6244289375260658,-2.15942177260986,4.527987798924189,0.19207532927722593,4.376055974216125,10.244761522144818,2.012169291143415,10.436836851422044,2.364674029559072,-0.2808841749197293,0.7744209206863887,-0.5268982816298652,0.1967833074608945,-0.2460141067101359,0.9523563653126408
