dataset,window,seed,method,method_label,source_stage,shared_artifact_sha256,shared_code_sha256,sharpe,sortino,total_return,max_drawdown_improvement,calmar
portfolio_5stocks,W3,456,pbir,PBIR-GIFT,Stage-C,92f4ccbd4544371d932fc993ed2db70c0418c7c77e758fa531ed0083fc2a94c7,d74e11bbcbd8702d1c423b49ff900bd84c6326c575dd2fc20e7592754be92ebc,-1.267576942184376,-1.1520817150483185,-25.974544071036753,36.65290392155884,-1.651441348796415
portfolio_5stocks,W3,456,pure_gift,Pure GIFT,Stage-C,92f4ccbd4544371d932fc993ed2db70c0418c7c77e758fa531ed0083fc2a94c7,d74e11bbcbd8702d1c423b49ff900bd84c6326c575dd2fc20e7592754be92ebc,-1.3948974478477238,-1.1864680506555754,-26.40343895673334,35.00406659215452,-1.7969435854105489
portfolio_5stocks,W4,42,pbir,PBIR-GIFT,Stage-F,63ddab0c56c5187578cf2c913c6683d7b4bab40d44a7d4375354e52d8a36cb3e,a04423327bff538cba432a1c2f735de3d3348b376e5338b6aea1476bb0497c34,-1.4166491163961898,-1.5309774238276244,-19.181801719869895,26.222949145789286,-1.748548749765866
portfolio_5stocks,W4,42,pure_gift,Pure GIFT,Stage-F,63ddab0c56c5187578cf2c913c6683d7b4bab40d44a7d4375354e52d8a36cb3e,a04423327bff538cba432a1c2f735de3d3348b376e5338b6aea1476bb0497c34,-1.239803702139467,-1.3398252592565563,-16.128464602535818,22.055846907815873,-1.7048345214006428
portfolio_5stocks,W4,123,pbir,PBIR-GIFT,Stage-F,a90a3ad9a7d3b684fbb9c06f9b39f8586a16b22dbf488a924474a7fb8238c366,befd4f1a8b9a007f4659d3f996404dc2f2b30491051816829eff4a79a69709c3,-1.7359056444847163,-1.8326073795656417,-13.096933614623751,17.381971557713623,-1.8395951316438965
portfolio_5stocks,W4,123,pure_gift,Pure GIFT,Stage-F,a90a3ad9a7d3b684fbb9c06f9b39f8586a16b22dbf488a924474a7fb8238c366,befd4f1a8b9a007f4659d3f996404dc2f2b30491051816829eff4a79a69709c3,-1.972907874661274,-2.022097444860075,-21.52494109692237,25.166097985783153,-2.1586914794868592
portfolio_5stocks,W4,456,pbir,PBIR-GIFT,Stage-F,c746c63e209cdc73082d44e3d65c85afd42f7288e70a51c0244095e21e06229b,22ab409b361f4e94993995d1de7086038052576d56a636736471b10b926f017c,-0.1614557800996022,-0.17594547551191442,-3.196660267972151,11.916510784312727,-0.35959699504936793
portfolio_5stocks,W4,456,pure_gift,Pure GIFT,Stage-F,c746c63e209cdc73082d44e3d65c85afd42f7288e70a51c0244095e21e06229b,22ab409b361f4e94993995d1de7086038052576d56a636736471b10b926f017c,-0.3277783223454521,-0.36010237740287876,-5.22862599609033,13.388514915035826,-0.6775915399341185
portfolio_5stocks,W5,42,pbir,PBIR-GIFT,Stage-C,0aae7ebed771d267650cd78afd89b28bd913ecd141ef046bee0ab115e528012f,0df0ef6e5263aef4f999057db2981cf3405481c9f286c0e1dde5fb370e11685f,3.108099423439444,3.1163429786926597,32.695882722460134,10.97922674475703,6.426686561650841
portfolio_5stocks,W5,42,pure_gift,Pure GIFT,Stage-C,0aae7ebed771d267650cd78afd89b28bd913ecd141ef046bee0ab115e528012f,0df0ef6e5263aef4f999057db2981cf3405481c9f286c0e1dde5fb370e11685f,1.5559777386012035,1.6082230547600977,10.31075127040224,11.059865211345981,2.2456785758688964
portfolio_5stocks,W5,123,pbir,PBIR-GIFT,Stage-C,4517d29dd517e823dda465a184110a294b91131221f97f5b76bd670c5c88fd02,facd00d9c2e9f356a0290c084ca37694c5ea15989a8dfb069eb8ce90b023c8b6,2.127523885528309,2.4351626789966376,14.842591844946341,11.236073740641633,3.0751262780962363
portfolio_5stocks,W5,123,pure_gift,Pure GIFT,Stage-C,4517d29dd517e823dda465a184110a294b91131221f97f5b76bd670c5c88fd02,facd00d9c2e9f356a0290c084ca37694c5ea15989a8dfb069eb8ce90b023c8b6,2.71721336286985,3.1819854229133178,19.279018418053482,6.840792865557173,6.378216733232053
portfolio_5stocks,W5,456,pbir,PBIR-GIFT,Stage-C,07d9732ade6ca6a10023d9e8fdcd95439d54c618a4c79e59a18f1250a0d4518a,475294131cd57a32f081b337289c3221daa079fababb7adabb8b8de7a18d6760,3.007405836471797,3.1527118882836094,33.79907222580201,12.743461692307632,5.721611621995778
portfolio_5stocks,W5,456,pure_gift,Pure GIFT,Stage-C,07d9732ade6ca6a10023d9e8fdcd95439d54c618a4c79e59a18f1250a0d4518a,475294131cd57a32f081b337289c3221daa079fababb7adabb8b8de7a18d6760,2.4306816815918846,2.5850325465976,16.409057990525632,9.933474467188178,3.79453041581788
portfolio_5stocks,W6,42,pbir,PBIR-GIFT,Stage-F,766eff9cb5629e4f965eb258a2cf3a3c4b396f146da8a8e2ac2d06799580ff3a,3e3d174b8ab6e23b45b7c83d13bad77b734bef8ee78300261ddc65010ac1a86a,1.4782532029073847,1.4081245385095527,9.092456626207657,7.7763687175450995,2.8582456373366147
portfolio_5stocks,W6,42,pure_gift,Pure GIFT,Stage-F,766eff9cb5629e4f965eb258a2cf3a3c4b396f146da8a8e2ac2d06799580ff3a,3e3d174b8ab6e23b45b7c83d13bad77b734bef8ee78300261ddc65010ac1a86a,1.4213138071201838,1.4369231876546058,11.161977807438772,12.749280209778696,2.159090461965543
portfolio_5stocks,W6,123,pbir,PBIR-GIFT,Stage-F,40c480cf655ff5f03d1a99c8da6f4497fe247f9615ef13817df5c9c849d2993c,8e15d34773f23283200f88f90c2fd802c79690555d4fd359e3a0b421d18f862d,1.3364978805478762,1.327286482513776,7.779173039200082,7.414348270474905,2.5879362929509213
portfolio_5stocks,W6,123,pure_gift,Pure GIFT,Stage-F,40c480cf655ff5f03d1a99c8da6f4497fe247f9615ef13817df5c9c849d2993c,8e15d34773f23283200f88f90c2fd802c79690555d4fd359e3a0b421d18f862d,0.8636854455567972,0.9037674931525687,5.778969513370247,11.901881708651878,1.2731039580405412
portfolio_5stocks,W6,456,pbir,PBIR-GIFT,Stage-F,e09eb210c4b32a3bfa7eaf7ea275df66ec25ab77acabd3fc2706a2d97c8a28f3,4de78613908e0c4e2d5fb5b45b98ad51093a5622bec4d2dc85dcb8bd25ffb24b,1.0091386628277697,0.9840393324771317,6.979895769665956,12.63346385639999,1.4194041326801543
portfolio_5stocks,W6,456,pure_gift,Pure GIFT,Stage-F,e09eb210c4b32a3bfa7eaf7ea275df66ec25ab77acabd3fc2706a2d97c8a28f3,4de78613908e0c4e2d5fb5b45b98ad51093a5622bec4d2dc85dcb8bd25ffb24b,1.3644596171912053,1.255230488983971,8.90640368843998,9.856380327875751,2.230070878102168
