metric,direction,mean_cell_delta,median_cell_delta,positive_cells,cell_win_rate,seed_pair_win_rate,hedges_g_paired,exact_one_sided_sign_flip_p,holm_adjusted_p,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_probability_positive
sharpe,PBIR-GIFT − Pure GIFT,0.2781127868947237,0.2958802511339646,10,0.8333333333333334,0.6944444444444444,0.9401697585748268,0.00439453125,0.02197265625,-0.009818198833136005,0.5577375280068991,0.9701
sortino,PBIR-GIFT − Pure GIFT,0.27582562414638084,0.281880742676336,10,0.8333333333333334,0.6666666666666666,0.8454631386996063,0.005859375,0.02197265625,-0.050798533574971806,0.5864997312562323,0.9455
total_return,PBIR-GIFT − Pure GIFT (percentage points),2.2049795589529446,1.4784672347068597,8,0.6666666666666666,0.6388888888888888,0.5775947449165056,0.012939453125,0.02587890625,-0.5112996658532498,6.045606783033187,0.9389
max_drawdown_improvement,Pure GIFT − PBIR-GIFT (percentage points),0.6470275667866033,1.3520260074064183,9,0.75,0.5833333333333334,0.40010457939758454,0.081298828125,0.081298828125,-0.8656560958296639,1.9983688904902723,0.766
calmar,PBIR-GIFT − Pure GIFT,0.6753927238451573,0.47582085992387424,9,0.75,0.7222222222222222,0.6729702541359367,0.00537109375,0.02197265625,-0.23791548835324025,1.8109236704082865,0.9251
