dataset,window,n_seeds,pure_gift_mean_test_total_return,pure_gift_seed_sd_test_total_return,pure_gift_mean_test_sharpe,pure_gift_seed_sd_test_sharpe,pure_gift_mean_test_sortino,pure_gift_seed_sd_test_sortino,pure_gift_mean_test_max_drawdown,pure_gift_seed_sd_test_max_drawdown,pure_gift_mean_test_calmar,pure_gift_seed_sd_test_calmar,ppo_tuned_mean_test_total_return,ppo_tuned_seed_sd_test_total_return,ppo_tuned_mean_test_sharpe,ppo_tuned_seed_sd_test_sharpe,ppo_tuned_mean_test_sortino,ppo_tuned_seed_sd_test_sortino,ppo_tuned_mean_test_max_drawdown,ppo_tuned_seed_sd_test_max_drawdown,ppo_tuned_mean_test_calmar,ppo_tuned_seed_sd_test_calmar,delta_total_return,seed_sd_delta_total_return,delta_sharpe,seed_sd_delta_sharpe,delta_sortino,seed_sd_delta_sortino,delta_max_drawdown_improvement,seed_sd_delta_max_drawdown_improvement,delta_calmar,seed_sd_delta_calmar
portfolio_5stocks,W1,3,-0.29102005576877216,2.8773286663839768,0.11428865807050488,0.3533034631852838,0.10649257294688323,0.34777767919249064,13.73391253560092,3.2066234162123735,0.18968491953119346,0.5593514005565648,0.45338867352849127,2.5707807838901697,0.1883921929788597,0.3265322350680948,0.179755143498777,0.3110479291034373,13.21031400187671,2.773371264234478,0.30881137813198406,0.5365495867702592,-0.7444087292972631,4.489640861398659,-0.07410353490835482,0.5713972152951245,-0.07326257055189382,0.5502848114188441,-0.5235985337242083,5.301603157647829,-0.11912645860079059,0.9211387862950496
portfolio_5stocks,W2,3,14.762039393509383,0.9537704102966436,2.0939454210337245,0.20560835769175442,2.134362718886586,0.24168978721035766,7.825055785118372,1.7254833643904426,4.527096468536283,0.8698139087985192,15.034181923477341,4.297615058312963,2.4105552900215397,0.42916457230417115,2.4382115839140592,0.48979058114608603,7.179163409590625,1.148625001491531,4.903761521418827,1.4353947880057987,-0.27214252996795923,4.552508396914969,-0.31660986898781524,0.6157983497195303,-0.3038488650274731,0.7097299736339503,-0.6458923755277463,2.8271955984042627,-0.3766650528825444,2.2811925925008345
portfolio_5stocks,W3,3,-23.09052987385911,7.103059728814314,-1.4390341722306295,0.23668513194642185,-1.29121313868603,0.19671604180220637,31.454187252817203,6.116855398774233,-1.7461431998448955,0.2710358699621159,-18.786188007614626,1.5763022878556163,-1.2059950746752748,0.17765864764421854,-1.0951934137846582,0.14861555590354514,30.497627341494823,3.2487975284595065,-1.4235047558968177,0.14903764717885098,-4.304341866244485,6.4817051040807545,-0.2330390975553546,0.19534871560062,-0.1960197249013719,0.19205018877898056,-0.9565599113223762,7.270053174526199,-0.3226384439480779,0.1637354867953314
portfolio_5stocks,W4,3,-8.02072933115083,7.495328679766948,-0.6432499028048188,0.7615277950304328,-0.7220695998244189,0.8629379163887022,15.897153924183558,3.140752260000835,-0.9026984271416292,1.169491805509921,-10.824669419224728,1.9664317150249149,-0.8916843950407953,0.19721026161432556,-0.949750448897429,0.21026535970582405,15.968242942206345,2.1735446662292905,-1.487661647379454,0.15178614858093548,2.8039400880738974,7.746300094306537,0.24843449223597666,0.7303069806719207,0.2276808490730102,0.8298791019248923,0.07108901802278507,3.770651581659411,0.5849632202378247,1.1360616933906986
portfolio_5stocks,W5,3,21.969482585145602,2.5612748843817608,2.8728889591093014,0.3887971811508768,3.1569097408135076,0.436969577787696,8.746312702370336,1.7378749222398369,5.849754437456435,1.796920667814848,29.670932467954966,9.606272594136557,2.9335040242074526,0.33837052530761835,3.1272410576509326,0.37115624151652943,11.40016034354394,0.7822215916719444,5.5938331913112185,1.2502528923998575,-7.701449882809363,11.73187622453696,-0.060615065098151476,0.6300027397876103,0.029668683162575277,0.746126057094031,2.6538476411736043,1.3817915547731956,0.2559212461452172,2.783323262873132
portfolio_5stocks,W6,3,4.401339972115381,3.0284716334230803,0.7201874479581477,0.3505656549926739,0.6883103446770931,0.3762407966369863,11.370777462579312,1.1161163540682446,0.9930010814043461,0.5427982609905785,7.611364591449317,3.437608610570757,1.124067680976428,0.4730506312259212,1.0883112944545392,0.4666575429840762,11.662367298993393,2.527037011638219,1.8132204360467197,1.177558502250129,-3.210024619333936,5.444309895088544,-0.4038802330182804,0.7121164200872759,-0.4000009497774461,0.7432824422362121,0.29158983641408237,3.0797885698446925,-0.8202193546423734,1.532330058130672
portfolio_5stocks2,W1,3,13.669776123085503,1.435062578699387,2.7931757746899772,0.21974339270406537,2.890611676461201,0.3654694603274888,3.6161894999124287,1.077842596815086,9.103244006277704,2.3203180854632044,13.640071181160536,2.9590784433456547,2.7151440741734096,0.3517703229353044,2.77180464812453,0.4696437079314676,3.20995757455128,0.5673251449968617,10.209243961909328,3.9110020474877154,0.029704941924964718,1.9460519396567095,0.07803170051656731,0.3581771073509067,0.11880702833667096,0.5574217691364447,-0.406231925361148,1.6446728995491402,-1.1059999556316227,6.0242489440405755
portfolio_5stocks2,W2,3,1.636828449142495,2.7333894687681193,0.3796090500198168,0.532895142994714,0.3595310930273469,0.5088785642964536,6.138509973367203,1.0142521282396513,0.8698964927284375,1.2913195634157348,4.4093509267791875,0.9445518605805798,0.8913352803836997,0.11953827317600604,0.865721446907294,0.1110519495775927,5.016212372668151,0.290544201176226,2.2225207398837683,0.48319576922549173,-2.772522477636693,3.3213276558951037,-0.5117262303638829,0.6193407700087337,-0.5061903538799472,0.5802762483084536,-1.1222976006990517,1.3024432089032874,-1.3526242471553311,1.634275743483326
portfolio_5stocks2,W3,3,-5.533601563611227,2.40733315915676,-0.42066916013120226,0.22129480909168817,-0.3524472319113848,0.1808888549057566,15.475195014142562,4.04552029063786,-0.6438643271453287,0.24959970370307583,-4.513033485720907,2.147246372971644,-0.39705877093993086,0.21062934106406023,-0.3429195094802316,0.1803585359314373,13.50181032507445,3.017877299364236,-0.6104030828861625,0.26791984346401554,-1.0205680778903197,0.2845991501899629,-0.023610389191271397,0.011253517048007158,-0.009527722431153157,0.0005785611454197948,-1.9733846890681128,1.2468631807313646,-0.03346124425916619,0.030754219596561362
portfolio_5stocks2,W4,3,-1.9059244263576895,4.854757864367238,-0.13319516779169457,0.6356188935467907,-0.14711927124545618,0.681709492432031,10.082855213195165,1.977375135223795,-0.23791303795771843,1.2006023306109062,0.19449393573819732,2.705920789832262,0.13159319710691808,0.3182725267292542,0.13032268647582776,0.3266748062579425,10.157631097719191,0.755866716465427,0.26356406355263623,0.6235928286437719,-2.100418362095887,2.161482123995347,-0.2647883648986126,0.3190233637764495,-0.27744195772128394,0.3555734638753015,0.07477588452402983,1.8091716930593091,-0.5014771015103547,0.5801193715666072
