block_length,mean_delta_sharpe,ci95_low,ci95_high,probability_positive,gate_pass
5,0.36827139733962294,-0.08065111005033303,0.82514526260793,0.9422,False
10,0.36827139733962294,-0.07789016755387963,0.7933000974826324,0.9441,False
20,0.36827139733962294,-0.05278320870954665,0.7850472454553507,0.955,False
30,0.36827139733962294,-0.04559824580047352,0.7715587434643612,0.9538,False
40,0.36827139733962294,-0.02696824588900878,0.7516347326358234,0.9642,False
