dataset,window,n_seeds,seeds,confirmatory,delta_sharpe,seed_sd_sharpe,delta_sortino,seed_sd_sortino,delta_max_drawdown_improvement,seed_sd_max_drawdown_improvement,delta_total_return,seed_sd_total_return
portfolio_5stocks,W1,3,"42,123,456",True,-0.06179412967015093,0.1321646260644534,-0.06154530149984922,0.10682836179329039,-1.5621137280663688,2.9916943064984776,-0.30571932547425923,1.0947615049858181
portfolio_5stocks,W3,3,"42,123,456",True,0.2515922423278016,0.5691372736058062,0.2046377303976975,0.5042113538124222,1.2699735267947243,4.7452563731263195,1.5507882747425394,6.9308473117129825
portfolio_5stocks,W5,3,"42,123,456",True,0.5130521207922041,1.0723242791027006,0.4429921739006304,1.132630467619302,-2.3748765445383206,2.269461272319571,11.779573038075709,14.263827731179264
portfolio_5stocks2,W1,3,"42,123,456",True,0.6415120057376049,0.35711501494637227,0.8222311428031669,0.5190173082902549,1.904473553265965,2.187083532645395,0.006775131028076586,3.218882696314158
portfolio_5stocks2,W3,3,"42,123,456",True,0.5250978849101505,0.5274991664723534,0.4609428034322806,0.46191352949214803,1.4829851771052702,2.5992742881546214,4.600614858296695,5.91309780205583
portfolio_5stocks2,W5,3,"42,123,456",True,0.3401682599401276,0.5429269325704114,0.35912375495497456,0.7596279833848322,1.7133376230833897,1.9952077776016588,1.40614619467118,3.17098474034654
