dataset,dataset_label,window,cell,stage_b_delta_sharpe,stage_c_delta_sharpe,stage_c_minus_stage_b
portfolio_5stocks,D1,W1,D1-W1,0.07628345742379926,-0.06179412967015093,-0.13807758709395018
portfolio_5stocks,D1,W3,D1-W3,0.27856519027775045,0.2515922423278016,-0.026972947949948867
portfolio_5stocks,D1,W5,D1-W5,-0.12521257729611776,0.5130521207922041,0.6382646980883219
portfolio_5stocks2,D2,W1,D2-W1,-0.1020223963256502,0.6415120057376049,0.7435344020632552
portfolio_5stocks2,D2,W3,D2-W3,0.26653080790377853,0.5250978849101505,0.258567077006372
portfolio_5stocks2,D2,W5,D2-W5,-0.05657279246788308,0.3401682599401276,0.3967410524080107
