dataset,window,seed,method,baseline_source_stage,test_total_return,test_sharpe,test_sortino,test_max_drawdown,test_calmar
portfolio_5stocks,W4,123,ppo_train_plus_test,Stage-E,-31.661001728470307,-2.490959616911966,-2.508347636364899,37.01639134189988,-2.305513473666682
portfolio_5stocks,W4,123,equal_weight,Stage-E,-19.58362939153977,-1.4039900808181507,-1.538675935802229,26.10836335660508,-1.7903131972940614
portfolio_5stocks,W4,456,pure_gift,Stage-B,0.23570127272400931,0.17428976341659466,0.1988225862533966,12.885167681078421,0.4257048839401673
portfolio_5stocks,W4,456,ppo_test_only,Stage-E,-16.885579640596337,-1.150382982566865,-1.2493147799476605,22.810114043384868,-1.6975379141072506
portfolio_5stocks,W4,456,ppo_train_plus_test,Stage-E,-21.767445189810786,-1.762941253707581,-1.8656999971374864,26.517482224730088,-2.0421173940401043
portfolio_5stocks,W4,456,equal_weight,Stage-E,-19.58362939153977,-1.4039900808181507,-1.538675935802229,26.10836335660508,-1.7903131972940614
portfolio_5stocks,W5,42,pure_gift,Stage-B,24.925244082687527,3.3177731170889326,3.6556643427999425,6.969121415762249,7.8676249113538725
portfolio_5stocks,W5,42,ppo_test_only,Stage-D,38.48015868283146,3.6117412914665135,3.5815670464507177,10.944052317140834,7.378905879008871
portfolio_5stocks,W5,42,ppo_train_plus_test,Stage-D,24.05820424732068,2.829069461373328,3.7120427481413816,9.117951600136022,5.8751851096684975
portfolio_5stocks,W5,42,equal_weight,Stage-D,31.418348894185666,2.9493936187654,3.225796489909804,12.167922871465512,5.616020329719121
portfolio_5stocks,W5,123,pure_gift,Stage-B,20.40365576993992,2.598275886694658,2.9736784688770093,10.442003503294185,4.422402005175285
portfolio_5stocks,W5,123,ppo_test_only,Stage-D,18.043785732185725,2.2594109947910845,2.457341011410162,12.026348900479162,3.453247572932379
portfolio_5stocks,W5,123,ppo_train_plus_test,Stage-D,36.71366278632402,3.7438111083377725,4.660579980869564,9.886526685542432,7.817130941925565
portfolio_5stocks,W5,123,equal_weight,Stage-D,31.418348894185666,2.9493936187654,3.225796489909804,12.167922871465512,5.616020329719121
portfolio_5stocks,W5,456,pure_gift,Stage-B,20.57954790280936,2.702617873544313,2.841386410763572,8.827813188054574,5.259236395840149
portfolio_5stocks,W5,456,ppo_test_only,Stage-D,29.417808277664626,2.812215608867179,3.388238308774939,11.368493867393047,5.681258730856449
portfolio_5stocks,W5,456,ppo_train_plus_test,Stage-D,13.809369294811823,1.6240180971713314,1.7187654170392148,14.478031277349004,2.2894105754381457
portfolio_5stocks,W5,456,equal_weight,Stage-D,31.418348894185666,2.9493936187654,3.225796489909804,12.167922871465512,5.616020329719121
