dataset,window,method,method_label,n_seeds,mean_test_total_return,seed_sd_test_total_return,mean_test_sharpe,seed_sd_test_sharpe,mean_test_sortino,seed_sd_test_sortino,mean_test_max_drawdown,seed_sd_test_max_drawdown,mean_test_calmar,seed_sd_test_calmar
portfolio_5stocks,W1,pure_gift,Pure GIFT,3,-0.29102005576877216,2.8773286663839768,0.11428865807050488,0.3533034631852838,0.10649257294688323,0.34777767919249064,13.73391253560092,3.2066234162123735,0.18968491953119346,0.5593514005565648
portfolio_5stocks,W1,ppo_test_only,PPO-TestOnly,3,-6.450154886545586,2.3636591061625922,-0.6627430775023667,0.3380326672126718,-0.6611361773525255,0.32877379025433884,16.03240377811139,2.7545280682353868,-0.8589441579329128,0.371818396189689
portfolio_5stocks,W1,ppo_train_plus_test,PPO-Train+FineTune,3,-3.425555786582002,5.2254794382650545,-0.22867417729047013,0.4759083121458179,-0.22359065459469943,0.46837577903533967,13.929329890094209,4.941410938940665,-0.3085467528976225,0.6568176095678826
portfolio_5stocks,W1,equal_weight,Equal Weight,3,2.6478276896508612,0.0,0.3970452335358103,0.0,0.38672177213148823,0.0,13.947552679799694,0.0,0.6187846764453284,0.0
portfolio_5stocks,W2,pure_gift,Pure GIFT,3,14.762039393509383,0.9537704102966436,2.0939454210337245,0.20560835769175442,2.134362718886586,0.24168978721035766,7.825055785118372,1.7254833643904426,4.527096468536283,0.8698139087985192
portfolio_5stocks,W2,ppo_test_only,PPO-TestOnly,3,12.043272103125702,4.416467045693697,1.928845764342973,0.5130198418642954,1.9514163856599103,0.5489537347487141,7.912070275665994,2.2139099271554965,3.7871984049213316,1.9231190851451707
portfolio_5stocks,W2,ppo_train_plus_test,PPO-Train+FineTune,3,11.491327930796237,4.20687576420398,1.9908745043005538,0.4680609983044722,2.0667127150481837,0.5653825546320667,6.773153259521149,0.6863252924638666,3.9545071641218352,1.3267157499701243
portfolio_5stocks,W2,equal_weight,Equal Weight,3,16.60006912512042,0.0,2.2691030956730467,0.0,2.262676974463331,0.0,9.237243871076933,0.0,4.147521103686527,0.0
portfolio_5stocks,W3,pure_gift,Pure GIFT,3,-23.09052987385911,7.103059728814314,-1.4390341722306295,0.23668513194642185,-1.29121313868603,0.19671604180220637,31.454187252817203,6.116855398774233,-1.7461431998448955,0.2710358699621159
portfolio_5stocks,W3,ppo_test_only,PPO-TestOnly,3,-17.211797307378294,6.700845988544538,-1.1160238663536035,0.43801749452742095,-1.000299411400168,0.3640075134167727,25.476322854296125,6.045558017269682,-1.49372709704927,0.3925968080345456
portfolio_5stocks,W3,ppo_train_plus_test,PPO-Train+FineTune,3,-22.991161685111432,2.8481293882959995,-1.4964865373951095,0.2253166955158261,-1.3655421614927823,0.18905736723693856,31.906800476063367,3.5932968117160233,-1.7427909492038305,0.2183663583037993
portfolio_5stocks,W3,equal_weight,Equal Weight,3,-23.244221966902757,0.0,-1.318811415774874,0.0,-1.1734153853357967,0.0,33.85142328578793,0.0,-1.6163507384549758,0.0
portfolio_5stocks,W4,pure_gift,Pure GIFT,3,-8.02072933115083,7.495328679766948,-0.6432499028048188,0.7615277950304328,-0.7220695998244189,0.8629379163887022,15.897153924183558,3.140752260000835,-0.9026984271416292,1.169491805509921
