dataset,window,trial_name,parameter,level,value,seed,status,data_file,frozen_prior_ppo,method_order,pbir_status,pbir_return_code,pbir_best_train_sharpe,pbir_best_iteration,pbir_test_sharpe,pbir_test_sortino,pbir_test_max_drawdown,pbir_test_total_return,pbir_wall_time_seconds,pbir_llm_call_attempts,pbir_llm_call_successes,pbir_valid_code_rate,pbir_failed_iterations,pbir_config_path,pbir_config_sha256,pbir_experiment_dir,pure_gift_status,pure_gift_return_code,pure_gift_best_train_sharpe,pure_gift_best_iteration,pure_gift_test_sharpe,pure_gift_test_sortino,pure_gift_test_max_drawdown,pure_gift_test_total_return,pure_gift_wall_time_seconds,pure_gift_llm_call_attempts,pure_gift_llm_call_successes,pure_gift_valid_code_rate,pure_gift_failed_iterations,pure_gift_config_path,pure_gift_config_sha256,pure_gift_experiment_dir,test_sharpe_delta_pbir_minus_gift,test_sortino_delta_pbir_minus_gift,test_total_return_delta_pbir_minus_gift,test_max_drawdown_delta_pbir_minus_gift,test_max_drawdown_improvement_pbir_minus_gift
portfolio_5stocks,W1,actor_lr_g1_5em05,actor_lr,1,5e-05,42,completed,${PROJECT_ROOT}\data\portfolio_5stocks.pkl,"{""epochs_per_update"":10,""max_episodes"":50}",pbir>pure_gift,completed,0,0.6509448847553824,1,1.532134990648821,1.089170671676131,2.53958101368485,3.6931403510377603,1910.5918695,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\actor_lr_g1_5em05_pbir.yaml,ea3acac8d2484b5ce1519f4b9bf2fa8db331b2af8e434c905d592749633742b4,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\actor_lr_g1_5em05\pbir,completed,0,0.7047179680357911,4,2.987462748562751,2.4827236739374725,3.957861436623929,11.052407377613527,1952.2334554999834,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\actor_lr_g1_5em05_pure_gift.yaml,68d28c0320b9dad97ea04435ded82d71e4d70f4153609980ef4a1aeef33961ff,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\actor_lr_g1_5em05\pure_gift,-1.45532775791393,-1.3935530022613416,-7.3592670265757665,-1.418280422939079,1.418280422939079
portfolio_5stocks,W1,actor_lr_g2_0p0001,actor_lr,2,0.0001,42,completed,${PROJECT_ROOT}\data\portfolio_5stocks.pkl,"{""epochs_per_update"":10,""max_episodes"":50}",pure_gift>pbir,completed,0,0.7565552428976262,1,2.4775316041402684,2.0562364414385885,2.8455360295190064,7.67719559028337,1942.3813449000008,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\actor_lr_g2_0p0001_pbir.yaml,71cacd30b6d30280fe57b731e7e73a216fe2ace1b274c9f40df11780be5235ba,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\actor_lr_g2_0p0001\pbir,completed,0,0.7692776789691078,1,1.754063656649296,1.2142875093385626,3.5602590758378674,4.866820572173225,1941.6472235000692,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\actor_lr_g2_0p0001_pure_gift.yaml,405584cd270823f5b8c4979fab25168439c65586c3070b0cb52357acbe5f33fb,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\actor_lr_g2_0p0001\pure_gift,0.7234679474909724,0.841948932100026,2.810375018110145,-0.714723046318861,0.714723046318861
portfolio_5stocks,W1,actor_lr_g3_0p0003,actor_lr,3,0.0003,42,completed,${PROJECT_ROOT}\data\portfolio_5stocks.pkl,"{""epochs_per_update"":10,""max_episodes"":50}",pbir>pure_gift,completed,0,1.0156555105984175,1,2.375699204501593,2.0203254425960173,4.1056730669445765,8.73976017751712,1958.8200303999474,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\actor_lr_g3_0p0003_pbir.yaml,775aa705ab8d10cf5e7eca51e39155a450cf2078825704cf48072af62ed06624,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\actor_lr_g3_0p0003\pbir,completed,0,0.7740996793093312,3,2.6107962167207934,2.1119839985616076,4.248540322192207,9.628293338492888,1981.7382425999967,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\actor_lr_g3_0p0003_pure_gift.yaml,29a1dff62becac18436d0e4fafed856c027c1a71adf5f7446c1bcc7e73ece07a,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\actor_lr_g3_0p0003\pure_gift,-0.23509701221920043,-0.09165855596559025,-0.8885331609757685,-0.1428672552476309,0.1428672552476309
portfolio_5stocks,W1,actor_lr_g4_0p0005,actor_lr,4,0.0005,42,completed,${PROJECT_ROOT}\data\portfolio_5stocks.pkl,"{""epochs_per_update"":10,""max_episodes"":50}",pure_gift>pbir,completed,0,0.9897220177879219,3,2.203617911416242,1.6938530632759299,3.74958730621991,7.190016161118673,1930.8701328999596,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\actor_lr_g4_0p0005_pbir.yaml,a0c6e9288f8e7c9e435e11d5dc7edcb49c88c811400d5ac78ae7a6fc34bd9477,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\actor_lr_g4_0p0005\pbir,completed,0,0.7719799784638248,3,3.8765755094816083,3.5556864627478433,3.7027738139561297,17.170490414828166,1915.781617200002,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\actor_lr_g4_0p0005_pure_gift.yaml,f932c948eb7669120569f9fa26bcec48af5e4f7b443e38573002bcabce897844,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\actor_lr_g4_0p0005\pure_gift,-1.6729575980653664,-1.8618333994719134,-9.980474253709492,0.046813492263780176,-0.046813492263780176
portfolio_5stocks,W1,actor_lr_g5_0p001,actor_lr,5,0.001,42,completed,${PROJECT_ROOT}\data\portfolio_5stocks.pkl,"{""epochs_per_update"":10,""max_episodes"":50}",pbir>pure_gift,completed,0,1.204984310943932,2,2.6098997413012577,2.254543327039635,4.324224220567988,9.554944506999519,1909.89389940002,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\actor_lr_g5_0p001_pbir.yaml,b335fb4a5e9d737aca07051a487bf01ec3effce6b07155725b6673fc371ce5a5,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\actor_lr_g5_0p001\pbir,completed,0,0.7864908287866011,1,2.669857945146859,2.0959534534973985,3.812444237519304,8.995427020863357,1923.6593097998993,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\actor_lr_g5_0p001_pure_gift.yaml,4fa5872cbbd21af4b83dfbcc802f37809003a02254d92d4ee6307ae6e47747bf,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\actor_lr_g5_0p001\pure_gift,-0.05995820384560124,0.15858987354223641,0.559517486136162,0.511779983048684,-0.511779983048684
portfolio_5stocks,W1,clip_epsilon_g1_0p05,clip_epsilon,1,0.05,42,completed,${PROJECT_ROOT}\data\portfolio_5stocks.pkl,"{""actor_lr"":0.0005,""epochs_per_update"":10,""max_episodes"":50}",pure_gift>pbir,completed,0,0.8067858921989234,3,2.747591766967179,2.3302427077056014,4.624654514588957,10.687588100242905,1934.156469099922,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\clip_epsilon_g1_0p05_pbir.yaml,747f55021c64fc58eb2260ae3fad5e0a9d19a05452e018909ae7c8b4cbb5fa20,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\clip_epsilon_g1_0p05\pbir,completed,0,0.7494796399328407,4,2.47482303337125,1.9533896366075312,3.908099673915058,8.36353914295489,1900.0604770999635,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\clip_epsilon_g1_0p05_pure_gift.yaml,0c6db020d64b65d846f4a97698a4e3285d30bca1bb98cae076c153ca80cafa03,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\clip_epsilon_g1_0p05\pure_gift,0.272768733595929,0.3768530710980702,2.3240489572880154,0.7165548406738989,-0.7165548406738989
portfolio_5stocks,W1,clip_epsilon_g2_0p1,clip_epsilon,2,0.1,42,completed,${PROJECT_ROOT}\data\portfolio_5stocks.pkl,"{""actor_lr"":0.0005,""epochs_per_update"":10,""max_episodes"":50}",pbir>pure_gift,completed,0,0.927385643104968,3,2.5538680170701666,2.1526323466062536,3.823277780308458,8.676118096601272,1965.0303436000831,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\clip_epsilon_g2_0p1_pbir.yaml,1ef71f7ce4cfa115f1ed4501b7d6fa8bad66e99877deca7efe1304b802cfeda1,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\clip_epsilon_g2_0p1\pbir,completed,0,0.8305532159410989,2,2.452654108352705,1.9549048520866656,4.1401958752487635,9.185320594336076,1937.2638548999093,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\clip_epsilon_g2_0p1_pure_gift.yaml,d3583ab1e939fe322e13f89d2b02f1320295d8d4630650cad78e3085057e98c2,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\clip_epsilon_g2_0p1\pure_gift,0.10121390871746172,0.19772749451958793,-0.5092024977348046,-0.31691809494030565,0.31691809494030565
portfolio_5stocks,W1,clip_epsilon_g3_0p15,clip_epsilon,3,0.15,42,completed,${PROJECT_ROOT}\data\portfolio_5stocks.pkl,"{""actor_lr"":0.0005,""epochs_per_update"":10,""max_episodes"":50}",pure_gift>pbir,completed,0,0.880915603774073,2,2.466849956697562,2.192479381594588,3.6081905372700867,8.944568121278884,1930.236566099804,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\clip_epsilon_g3_0p15_pbir.yaml,19a053c0d595f597879b4c8b6fe17fbfb27e2c39470274dffaf42d070415d9fc,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\clip_epsilon_g3_0p15\pbir,completed,0,0.8491870405165627,5,2.3511577550109983,1.8067733535679773,3.7225011247832644,7.635777932364429,1935.354791099904,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\clip_epsilon_g3_0p15_pure_gift.yaml,31ace9bd10d92c8f664ae11c4738177e95ef9732c4de001ff2d8173d79b658c9,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\clip_epsilon_g3_0p15\pure_gift,0.11569220168656358,0.3857060280266107,1.3087901889144549,-0.1143105875131778,0.1143105875131778
portfolio_5stocks,W1,clip_epsilon_g4_0p2,clip_epsilon,4,0.2,42,completed,${PROJECT_ROOT}\data\portfolio_5stocks.pkl,"{""actor_lr"":0.0005,""epochs_per_update"":10,""max_episodes"":50}",pbir>pure_gift,completed,0,0.889831446803507,3,1.8802896790623436,1.3903443925719159,3.349259997164713,5.857407931854985,2009.7256939001381,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\clip_epsilon_g4_0p2_pbir.yaml,a0c6e9288f8e7c9e435e11d5dc7edcb49c88c811400d5ac78ae7a6fc34bd9477,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\clip_epsilon_g4_0p2\pbir,completed,0,0.7002363769137023,2,2.0303348862158197,1.5266341348650196,3.285769086450583,6.127927196990646,1911.524611200206,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\clip_epsilon_g4_0p2_pure_gift.yaml,f932c948eb7669120569f9fa26bcec48af5e4f7b443e38573002bcabce897844,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\clip_epsilon_g4_0p2\pure_gift,-0.15004520715347613,-0.13628974229310375,-0.27051926513566027,0.06349091071413016,-0.06349091071413016
portfolio_5stocks,W1,clip_epsilon_g5_0p3,clip_epsilon,5,0.3,42,completed,${PROJECT_ROOT}\data\portfolio_5stocks.pkl,"{""actor_lr"":0.0005,""epochs_per_update"":10,""max_episodes"":50}",pure_gift>pbir,completed,0,1.224562373676979,4,3.103073287224244,2.7670374770019395,4.913833898816894,13.36208788402029,1923.0255650999025,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\clip_epsilon_g5_0p3_pbir.yaml,4307b95fa971760570ceb08aac97bd3297218a12a57df6f27d6f9ded61395885,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\clip_epsilon_g5_0p3\pbir,completed,0,0.7931995521674287,2,3.469891919635774,3.2954485766571073,5.2774033165801875,16.80080895659273,1968.7940495999064,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\clip_epsilon_g5_0p3_pure_gift.yaml,29b51fc9cb7240417482854a7f1dc0861cac2a72df1c85e3f79ff6e7650a86d9,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\clip_epsilon_g5_0p3\pure_gift,-0.3668186324115297,-0.5284110996551679,-3.438721072572438,-0.3635694177632933,0.3635694177632933
