dataset,window,n_seeds,seeds,confirmatory,delta_sharpe,seed_sd_sharpe,delta_sortino,seed_sd_sortino,delta_max_drawdown_improvement,seed_sd_max_drawdown_improvement,delta_total_return,seed_sd_total_return
portfolio_5stocks,W1,3,"42,123,456",True,0.07628345742379926,0.14043032482829618,0.08822987952260845,0.1307435279430445,0.8194957281548364,4.046248004479863,1.1774189739377345,1.0746604482071538
portfolio_5stocks,W2,3,"42,123,456",False,-0.08704509497681001,0.1426226987930602,-0.1710053502789354,0.19500776696108765,-0.5565400574184162,2.6602611500439233,-2.389947017366005,3.2479751942796233
portfolio_5stocks,W3,3,"42,123,456",True,0.27856519027775045,0.3912105390191488,0.24407661848563567,0.3116129184825343,1.6189959768282722,5.587837308073752,2.7513694662644674,6.560127518727319
portfolio_5stocks,W4,3,"42,123,456",False,-0.46142027752201736,0.16260668186411723,-0.45777382647730797,0.19268686735132795,-2.6099899050883195,6.904501002803567,-3.80440253633777,5.300228006969784
portfolio_5stocks,W5,3,"42,123,456",True,-0.12521257729611776,0.39460843770554266,-0.2555038921558723,0.4908887989991731,-2.906608023531762,1.8301208830231586,5.143033012590558,9.662083483084725
portfolio_5stocks,W6,3,"42,123,456",False,0.5544424674695291,0.5800761369936975,0.5515064398230605,0.5959120014071583,2.096050514439314,2.1923931103367034,3.5491685062425167,3.892747141294555
portfolio_5stocks2,W1,3,"42,123,456",True,-0.1020223963256502,0.4042232247902798,-0.014057818066666764,0.6403610116941634,0.276607421928264,0.8142452807764693,-1.7738552943069592,2.6581589206295924
portfolio_5stocks2,W2,3,"42,123,456",False,0.6680263706589367,0.3451575101767664,0.6674292283541513,0.38040790365139177,1.1488291132144413,1.1672417405228066,3.53153554064621,1.8761296163282661
portfolio_5stocks2,W3,3,"42,123,456",True,0.26653080790377853,0.7721801197837014,0.2227173144142667,0.6512917915764119,0.792245060319282,5.754325758607653,2.724915699082897,7.866373609762916
portfolio_5stocks2,W4,3,"42,123,456",False,-0.1502626748507576,0.5375852066233735,-0.15070799555930944,0.5887183214116414,-0.1619063089496553,1.6351844202468209,-0.9914193220798486,4.411278347988293
portfolio_5stocks2,W5,3,"42,123,456",True,-0.05657279246788308,0.9868014761737119,-0.07230015347212533,1.116138373662216,0.023300545992783306,1.0770160047794188,0.09050994903535188,6.950712040951799
portfolio_5stocks2,W6,3,"42,123,456",False,-0.1588107027768544,0.1781605663232285,-0.13914312798594405,0.15527908798109935,-0.04554487807854309,0.7962642370251088,-1.0718186620121584,0.6325075724756846
