reporting_group,method,method_label,mean_cell_sharpe,sd_across_cells,median_cell_sharpe,positive_sharpe_cells,mean_rank,rank_1_cells
main,pbir,PBIR-GIFT,0.8312198614049807,1.350424293982744,0.9782538354933303,8,3.5833333333333335,1
main,pure_gift,Pure GIFT,0.7726780466118388,1.3900449716181555,0.5498982489889823,8,3.6666666666666665,1
main,ppo_test_only,PPO-Matched,0.6609232850686065,1.4029185979384673,0.7378731946066204,8,4.583333333333333,1
main,ppo_tuned,PPO-Tuned,0.9163815514195831,1.3875969969022293,1.007701480680064,9,2.8333333333333335,1
main,sma,SMA,0.4913153013290281,1.2537746736249713,0.8343575300734725,9,4.25,4
main,bollinger,Bollinger Bands,0.5031171325967422,1.401429401463159,0.4349846245728267,7,4.166666666666667,4
main,xgboost,XGBoost,0.06670069245448713,1.6079487880698664,0.21803233170175884,7,4.916666666666667,0
supplementary,ppo_train_plus_test,PPO-Train+FineTune,0.3231623317878062,1.4447764655879503,0.34499432371909233,7,8.833333333333334,0
supplementary,equal_weight,Equal Weight,0.9023545714671196,1.5364318155541026,1.047645921003392,8,4.416666666666667,1
supplementary,wma,WMA,0.3383920961346411,1.394867545910507,0.226535790904268,8,7.166666666666667,1
supplementary,atr,ATR,0.3263259486423205,1.486975442209853,0.31798113789213406,7,7.666666666666667,2
supplementary,turn_of_month,Turn-of-the-Month,0.5879227035130314,1.6024368353950422,0.8540134579713419,8,7.083333333333333,3
