dataset,window,method,method_label,n_runs,deterministic,mean_test_total_return,run_sd_test_total_return,mean_test_sharpe,run_sd_test_sharpe,mean_test_sortino,run_sd_test_sortino,mean_test_max_drawdown,run_sd_test_max_drawdown,mean_test_calmar,run_sd_test_calmar
portfolio_5stocks,W1,pbir,PBIR-GIFT,3,False,0.8863989181689624,1.8268482010185647,0.19057211549430417,0.2134957289728043,0.19472245246949169,0.21854467820776718,12.914416807446083,1.0776264690484003,0.28916454874662395,0.3305683842160252
portfolio_5stocks,W1,pure_gift,Pure GIFT,3,False,-0.29102005576877216,2.8773286663839768,0.11428865807050488,0.3533034631852838,0.10649257294688323,0.34777767919249064,13.73391253560092,3.2066234162123735,0.18968491953119346,0.5593514005565648
portfolio_5stocks,W1,sma,SMA,1,True,-8.432975362552098,0.0,-0.8023906452265266,0.0,-0.76410799482066,0.0,18.345371363643594,0.0,-1.0069642008773585,0.0
portfolio_5stocks,W1,wma,WMA,1,True,-14.084739254103873,0.0,-1.8470080181377166,0.0,-1.6899723009598453,0.0,20.368548750571684,0.0,-1.7007337281540824,0.0
portfolio_5stocks,W1,atr,ATR,1,True,-5.888031127498894,0.0,-0.8407490174661045,0.0,-0.7437059608528626,0.0,15.583763867564873,0.0,-0.8536787984266341,0.0
portfolio_5stocks,W1,bollinger,Bollinger Bands,1,True,5.180999311361911,0.0,1.064644847664423,0.0,0.9395387485843654,0.0,7.452648540566928,0.0,1.724901345623359,0.0
portfolio_5stocks,W1,turn_of_month,Turn-of-the-Month,1,True,-2.1400903769647983,0.0,-0.47886346035280264,0.0,-0.2065460337410816,0.0,7.192554617822856,0.0,-0.6542697120011675,0.0
portfolio_5stocks,W1,xgboost,XGBoost,3,False,1.2513226289022736,5.816567195203487,0.25109656697626326,0.4917630178709082,0.26015727588075593,0.5063209765135632,16.30242931859906,2.5468860105127336,0.5087274596617999,0.9567247522006591
portfolio_5stocks,W2,pbir,PBIR-GIFT,3,False,12.372092376143378,2.2989965736716766,2.0069003260569143,0.1476803130397711,1.9633573686076506,0.21488805111279385,8.381595842536788,1.261606834459976,3.459367993746507,0.2358058256514647
portfolio_5stocks,W2,pure_gift,Pure GIFT,3,False,14.762039393509383,0.9537704102966436,2.0939454210337245,0.20560835769175442,2.134362718886586,0.24168978721035766,7.825055785118372,1.7254833643904426,4.527096468536283,0.8698139087985192
portfolio_5stocks,W2,sma,SMA,1,True,26.436865571845015,0.0,1.96893407830685,0.0,1.8936585938841846,0.0,18.78639500389718,0.0,3.257678461636726,0.0
portfolio_5stocks,W2,wma,WMA,1,True,21.945786317914283,0.0,1.761501367354234,0.0,1.676420304880725,0.0,17.453199347021098,0.0,2.9813155649457213,0.0
portfolio_5stocks,W2,atr,ATR,1,True,24.966888172480118,0.0,2.621959069841437,0.0,2.6670782691727415,0.0,9.804496648738835,0.0,5.690864091147114,0.0
portfolio_5stocks,W2,bollinger,Bollinger Bands,1,True,9.795150095256977,0.0,1.214005401753025,0.0,1.404886380699382,0.0,10.032145813031937,0.0,2.436759478632165,0.0
portfolio_5stocks,W2,turn_of_month,Turn-of-the-Month,1,True,3.8654786479275005,0.0,1.2962413572345808,0.0,0.6885753299111821,0.0,3.453149330828392,0.0,2.711808558564092,0.0
portfolio_5stocks,W2,xgboost,XGBoost,3,False,25.19748096779324,8.233680579539774,2.3573989326483074,0.6797829790790831,2.439442577447541,0.65485758482453,9.100415884159402,0.4204974017199674,6.175370131450542,1.4588401870668877
portfolio_5stocks,W3,pbir,PBIR-GIFT,3,False,-20.339160407594644,5.899226859503259,-1.160468981952879,0.23767194044668744,-1.0471365202003942,0.18608474831544689,29.835191275988933,6.421186853459239,-1.5439821231861106,0.2244791600055251
portfolio_5stocks,W3,pure_gift,Pure GIFT,3,False,-23.09052987385911,7.103059728814314,-1.4390341722306295,0.23668513194642185,-1.29121313868603,0.19671604180220637,31.454187252817203,6.116855398774233,-1.7461431998448955,0.2710358699621159
portfolio_5stocks,W3,sma,SMA,1,True,-19.084408932596574,0.0,-1.8620784518436206,0.0,-1.4504432894255082,0.0,24.20299999771027,0.0,-1.9613675401998572,0.0
portfolio_5stocks,W3,wma,WMA,1,True,-18.405392308288537,0.0,-2.0673677864340485,0.0,-1.4385919353190046,0.0,22.057340313371494,0.0,-2.095495431003716,0.0
portfolio_5stocks,W3,atr,ATR,1,True,-28.56205170655245,0.0,-2.797137195621523,0.0,-2.444077541428374,0.0,32.183082873907836,0.0,-2.3863870864225665,0.0
portfolio_5stocks,W3,bollinger,Bollinger Bands,1,True,-10.642219772056249,0.0,-0.9902729797275965,0.0,-0.8835984153963629,0.0,19.913447438197128,0.0,-1.2080141519155967,0.0
portfolio_5stocks,W3,turn_of_month,Turn-of-the-Month,1,True,-10.838943051302829,0.0,-1.3644748464556329,0.0,-0.717602587482287,0.0,15.229806760923854,0.0,-1.6893312790247794,0.0
portfolio_5stocks,W3,xgboost,XGBoost,3,False,-31.53514467274472,2.8119510115569346,-1.2657284148738908,0.10842945601904395,-1.1289047780422965,0.07886669782876628,42.31793989146706,2.2954284045965254,-1.734900291161822,0.12508961461617982
portfolio_5stocks,W4,pbir,PBIR-GIFT,3,False,-11.825131867488599,8.068103654038346,-1.1046701803268362,0.8322987662365003,-1.1798434263017268,0.8823851082433442,18.50714382927188,7.219283491330334,-1.3159136254863768,0.8294446842020666
portfolio_5stocks,W4,pure_gift,Pure GIFT,3,False,-8.02072933115083,7.495328679766948,-0.6432499028048188,0.7615277950304328,-0.7220695998244189,0.8629379163887022,15.897153924183558,3.140752260000835,-0.9026984271416292,1.169491805509921
portfolio_5stocks,W4,sma,SMA,1,True,8.73438491698022,0.0,0.6522297697832171,0.0,0.7711658389051653,0.0,25.448692324150024,0.0,1.2504427039221377,0.0
portfolio_5stocks,W4,wma,WMA,1,True,-3.5726525402161813,0.0,0.0024323730487796945,0.0,0.0025092460312477896,0.0,21.40113246698329,0.0,0.004779014117519946,0.0
portfolio_5stocks,W4,atr,ATR,1,True,-13.331615126978491,0.0,-0.9075358297949269,0.0,-0.9345246710476091,0.0,25.1535508811831,0.0,-1.159961333214552,0.0
portfolio_5stocks,W4,bollinger,Bollinger Bands,1,True,-9.691255775623997,0.0,-0.7960624239276204,0.0,-0.7554663605893989,0.0,16.555664030585273,0.0,-1.2693342986437448,0.0
portfolio_5stocks,W4,turn_of_month,Turn-of-the-Month,1,True,-13.944996772227325,0.0,-2.5329905170520277,0.0,-1.1777928656518222,0.0,16.972645671836244,0.0,-2.0649251231843593,0.0
portfolio_5stocks,W4,xgboost,XGBoost,3,False,-41.97129842755981,6.377022428996487,-2.4141248513518594,0.4679837238239424,-2.24013797313652,0.37214039816877365,49.658460277762096,5.411505644866066,-2.378307198441646,0.2602684203699275
portfolio_5stocks,W5,pbir,PBIR-GIFT,3,False,27.11251559773616,10.640372570757462,2.7476763818131835,0.539422504721831,2.9014058486576353,0.40418769691550394,11.6529207259021,0.953127638031902,5.074474820580952,1.7670112091846544
portfolio_5stocks,W5,pure_gift,Pure GIFT,3,False,21.969482585145602,2.5612748843817608,2.8728889591093014,0.3887971811508768,3.1569097408135076,0.436969577787696,8.746312702370336,1.7378749222398369,5.849754437456435,1.796920667814848
